Freq_Hz,X_real,X_imag,Y_real,Y_imag,H_real,H_imag,H_mag_dB,H_phase_rad,Impulse_response
150.732422,69.350601,28.840298,1.760749,-2.746923,0.007602,-0.042771,27.241976,-1.394887,-0.018348
151.405334,-62.612556,-17.187590,-0.860818,-2.337476,0.022315,0.031207,28.321465,0.950033,-0.060740
152.078247,67.331909,27.987385,-2.281338,-0.382239,-0.030902,0.007168,29.972534,2.913665,-0.074314
152.751160,-59.930214,-16.929796,-0.188268,2.217572,-0.006771,-0.035090,28.937611,-1.761419,0.012802
153.424072,65.438690,27.122932,2.795254,-0.377286,0.034414,-0.020029,27.998367,-0.527088,0.070174
154.096985,-57.433670,-16.732388,-0.318705,-3.325457,0.020664,0.051881,25.060396,1.191762,0.090068
154.769897,63.629513,26.279800,-1.730857,0.109484,-0.022631,0.011068,31.974617,2.686749,0.027750
155.442810,-55.091805,-16.552715,0.189438,-2.209351,0.007898,0.037730,28.279993,1.364455,-0.031035
156.115723,61.935780,25.456245,-5.015254,0.363236,-0.067211,0.033489,22.488134,2.679331,-0.011165
156.788635,-52.878231,-16.427061,2.194334,3.690303,-0.057618,-0.051889,22.209595,-2.408458,0.024604
157.461548,60.316845,24.622643,0.483081,-3.901961,-0.015771,-0.058253,24.386440,-1.835192,-0.024928
158.134460,-50.820358,-16.335262,-3.598441,0.056323,0.063854,-0.021633,23.424412,-0.326652,-0.013790
158.807373,58.765766,23.815557,-1.969656,1.641729,-0.019064,0.035663,27.864065,2.061715,-0.008430
159.480286,-48.878838,-16.262928,0.290943,2.007102,-0.017660,-0.035187,28.096693,-2.035948,-0.021988
160.153198,57.297585,23.011557,-1.467755,-0.763558,-0.026667,-0.002616,31.438887,-3.043796,-0.008886
160.826111,-47.061825,-16.242416,-1.741146,4.087072,0.006277,-0.089011,20.989582,-1.500397,0.048044
161.499023,55.859325,22.215767,2.044397,1.045037,0.038025,0.003585,28.360172,0.094015,-0.040579
162.171936,-45.372116,-16.221329,-1.585618,2.154958,0.015930,-0.053191,25.110241,-1.279801,-0.058030
162.844849,54.487377,21.452930,3.205859,3.662691,0.073854,0.038143,21.605635,0.476728,0.000492
163.517761,-43.768738,-16.225632,2.456697,-0.111199,-0.048519,0.020527,25.566597,2.741353,0.050997
164.190674,53.163368,20.683487,3.153980,1.319182,0.059912,0.001505,24.447039,0.025112,0.051645
164.863586,-42.289093,-16.255299,3.524454,-3.213567,-0.047164,0.094119,19.553467,2.035328,-0.022759
165.536499,51.864082,19.952593,-0.981179,-1.613402,-0.026904,-0.020758,29.375212,-2.484437,-0.010768
166.209412,-40.885216,-16.273273,1.704666,-0.398461,-0.032643,0.022739,28.006176,2.533167,0.064997
166.882324,50.634537,19.226177,0.467059,-2.175304,-0.006195,-0.040609,27.727730,-1.722186,0.015078
167.555237,-39.573143,-16.336557,-0.197263,-2.163027,0.023538,0.044942,25.894218,1.088342,0.032697
168.228149,49.409775,18.508514,-2.662900,-0.175075,-0.048426,0.014597,25.920694,2.848831,-0.060215
